{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 date,category,item,quantity,unit_cost_usd,total_cost_usd\
2021-03-01,Equipment,Hive boxes,3,35,105\
2021-03-01,Equipment,Frames,60,1.2,72\
2021-03-05,Consumable,Wax blocks,10,4.5,45\
2021-04-10,Medication,Oxalic Acid,1,18,18\
2021-05-18,Medication,Thymol treatment pack,2,28,56\
2021-06-01,Supplies,Honey jars (12oz),120,0.85,102\
2021-06-01,Supplies,Jar labels,120,0.12,14.4\
2021-07-12,Medication,FormicPro pack,2,32,64\
2021-08-20,Consumable,Wax blocks,8,4.5,36\
2021-09-02,Supplies,Honey jars (12oz),120,0.88,105.6\
2021-09-02,Supplies,Jar labels,120,0.12,14.4\
2021-11-05,Medication,Oxalic Acid,1,18,18\
\
2022-02-25,Equipment,Frames,80,1.25,100\
2022-03-01,Consumable,Wax blocks,12,4.6,55.2\
2022-04-15,Medication,Oxalic Acid,1,18,18\
2022-05-18,Medication,FormicPro pack,3,32,96\
2022-06-01,Supplies,Honey jars (12oz),150,0.9,135\
2022-06-01,Supplies,Jar labels,150,0.13,19.5\
2022-07-19,Medication,Apivar strips,1,65,65\
2022-08-10,Consumable,Wax blocks,10,4.6,46\
2022-08-30,Medication,Oxalic Acid,1,18,18\
2022-09-12,Supplies,Honey jars (12oz),150,0.92,138\
2022-09-12,Supplies,Jar labels,150,0.13,19.5\
2022-11-12,Medication,Oxalic Acid,1,18,18\
\
2023-02-28,Equipment,Frames,100,1.3,130\
2023-03-05,Consumable,Wax blocks,15,4.7,70.5\
2023-04-10,Medication,Oxalic Acid,1,18,18\
2023-05-21,Medication,FormicPro pack,3,33,99\
2023-06-01,Supplies,Honey jars (12oz),180,0.95,171\
2023-06-01,Supplies,Jar labels,180,0.14,25.2\
2023-07-29,Medication,Apivar strips,2,66,132\
2023-08-10,Consumable,Wax blocks,12,4.7,56.4\
2023-08-18,Supplies,Honey jars (12oz),180,0.96,172.8\
2023-08-18,Supplies,Jar labels,180,0.14,25.2\
2023-09-23,Medication,Oxalic Acid,1,18,18\
2023-11-02,Medication,Oxalic Acid,1,18,18\
\
2024-03-01,Equipment,Hive boxes,2,38,76\
2024-03-01,Equipment,Frames,120,1.35,162\
2024-03-04,Consumable,Wax blocks,18,4.8,86.4\
2024-04-12,Medication,Oxalic Acid,1,18,18\
2024-05-24,Medication,FormicPro pack,4,34,136\
2024-06-01,Supplies,Honey jars (12oz),220,0.98,215.6\
2024-06-01,Supplies,Jar labels,220,0.15,33\
2024-07-12,Medication,Apivar strips,2,68,136\
2024-08-05,Consumable,Wax blocks,15,4.8,72\
2024-08-20,Supplies,Honey jars (12oz),220,1,220\
2024-08-20,Supplies,Jar labels,220,0.15,33\
2024-09-05,Medication,Oxalic Acid,1,18,18\
2024-11-01,Medication,Oxalic Acid,1,18,18\
\
2025-03-03,Equipment,Frames,140,1.4,196\
2025-03-03,Consumable,Wax blocks,20,5,100\
2025-04-10,Medication,Oxalic Acid,1,18,18\
2025-05-20,Medication,Norroa treatment pack,3,72,216\
2025-06-01,Supplies,Honey jars (12oz),260,1.05,273\
2025-06-01,Supplies,Jar labels,260,0.16,41.6\
2025-07-11,Medication,Norroa treatment pack,2,72,144\
2025-08-10,Consumable,Wax blocks,16,5,80\
2025-08-25,Supplies,Honey jars (12oz),260,1.06,275.6\
2025-08-25,Supplies,Jar labels,260,0.16,41.6\
2025-09-04,Medication,Oxalic Acid,1,18,18\
2025-11-02,Medication,Oxalic Acid,1,18,18}
