{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 HiveID,Date,Weight_lbs\
Hive1,2021-02-10,54\
Hive1,2021-03-21,61\
Hive1,2021-04-18,74\
Hive1,2021-05-26,92\
Hive1,2021-06-14,108\
Hive1,2021-07-30,113\
Hive1,2021-09-12,96\
Hive1,2021-11-03,72\
Hive1,2022-01-22,60\
Hive1,2022-03-05,66\
Hive1,2022-04-28,79\
Hive1,2022-06-02,105\
Hive1,2022-07-15,111\
Hive1,2022-09-18,97\
Hive1,2022-10-30,83\
Hive1,2023-02-11,62\
Hive1,2023-03-25,69\
Hive1,2023-05-01,95\
Hive1,2023-06-20,112\
Hive1,2023-08-09,106\
Hive1,2023-10-17,87\
Hive1,2024-01-30,63\
Hive1,2024-03-12,70\
Hive1,2024-04-22,82\
Hive1,2024-06-03,110\
Hive1,2024-07-19,118\
Hive1,2024-09-05,100\
Hive1,2024-11-14,78\
Hive1,2025-02-07,64\
Hive1,2025-03-18,71\
Hive1,2025-05-02,98\
Hive1,2025-06-15,116\
Hive1,2025-07-28,120\
Hive1,2025-09-16,104\
Hive1,2025-11-02,80\
\
Hive2,2021-02-12,52\
Hive2,2021-03-20,58\
Hive2,2021-04-16,70\
Hive2,2021-05-28,87\
Hive2,2021-06-17,104\
Hive2,2021-07-29,108\
Hive2,2021-09-14,92\
Hive2,2021-11-05,69\
Hive2,2022-01-20,57\
Hive2,2022-03-10,63\
Hive2,2022-04-25,75\
Hive2,2022-06-05,101\
Hive2,2022-07-17,107\
Hive2,2022-09-21,94\
Hive2,2022-10-27,80\
Hive2,2023-02-13,59\
Hive2,2023-03-29,66\
Hive2,2023-05-03,91\
Hive2,2023-06-23,108\
Hive2,2023-08-07,102\
Hive2,2023-10-20,84\
Hive2,2024-01-28,60\
Hive2,2024-03-10,67\
Hive2,2024-04-20,78\
Hive2,2024-06-06,106\
Hive2,2024-07-21,112\
Hive2,2024-09-03,95\
Hive2,2024-11-12,74\
Hive2,2025-02-05,61\
Hive2,2025-03-22,68\
Hive2,2025-05-06,94\
Hive2,2025-06-18,110\
Hive2,2025-07-26,114\
Hive2,2025-09-14,99\
Hive2,2025-11-06,76\
\
Hive3,2021-02-09,56\
Hive3,2021-03-24,63\
Hive3,2021-04-20,76\
Hive3,2021-05-30,95\
Hive3,2021-06-18,112\
Hive3,2021-07-31,118\
Hive3,2021-09-11,99\
Hive3,2021-11-07,74\
Hive3,2022-01-25,62\
Hive3,2022-03-08,68\
Hive3,2022-04-30,82\
Hive3,2022-06-08,109\
Hive3,2022-07-18,114\
Hive3,2022-09-17,98\
Hive3,2022-10-29,84\
Hive3,2023-02-14,64\
Hive3,2023-03-30,71\
Hive3,2023-05-07,98\
Hive3,2023-06-25,115\
Hive3,2023-08-12,108\
Hive3,2023-10-18,88\
Hive3,2024-02-01,66\
Hive3,2024-03-14,73\
Hive3,2024-04-24,85\
Hive3,2024-06-10,113\
Hive3,2024-07-23,120\
Hive3,2024-09-07,102\
Hive3,2024-11-16,79\
Hive3,2025-02-09,67\
Hive3,2025-03-20,74\
Hive3,2025-05-04,100\
Hive3,2025-06-20,118\
Hive3,2025-07-29,122\
Hive3,2025-09-18,106\
Hive3,2025-11-04,82\
\
Hive4,2021-02-11,50\
Hive4,2021-03-23,55\
Hive4,2021-04-19,67\
Hive4,2021-05-27,82\
Hive4,2021-06-15,98\
Hive4,2021-07-27,102\
Hive4,2021-09-10,85\
Hive4,2021-11-02,62\
Hive4,2022-01-18,52\
Hive4,2022-03-12,58\
Hive4,2022-04-23,70\
Hive4,2022-06-01,94\
Hive4,2022-07-16,98\
Hive4,2022-09-20,83\
Hive4,2022-10-25,70\
Hive4,2023-02-15,54\
Hive4,2023-03-28,60\
Hive4,2023-05-02,84\
Hive4,2023-06-21,100\
Hive4,2023-08-10,95\
Hive4,2023-10-16,72\
Hive4,2024-01-26,56\
Hive4,2024-03-08,62\
Hive4,2024-04-18,74\
Hive4,2024-06-05,97\
Hive4,2024-07-20,101\
Hive4,2024-09-04,88\
Hive4,2024-11-11,66\
Hive4,2025-02-03,57\
Hive4,2025-03-17,63\
Hive4,2025-05-01,86\
Hive4,2025-06-16,101\
Hive4,2025-07-25,104\
Hive4,2025-09-12,90\
Hive4,2025-11-01,68\
\
Hive5,2021-02-14,57\
Hive5,2021-03-26,64\
Hive5,2021-04-21,77\
Hive5,2021-05-29,96\
Hive5,2021-06-20,113\
Hive5,2021-08-01,118\
Hive5,2021-09-13,100\
Hive5,2021-11-08,75\
Hive5,2022-01-24,63\
Hive5,2022-03-09,70\
Hive5,2022-05-01,96\
Hive5,2022-06-10,111\
Hive5,2022-07-19,116\
Hive5,2022-09-19,99\
Hive5,2022-10-31,86\
Hive5,2023-02-16,65\
Hive5,2023-03-31,72\
Hive5,2023-05-08,99\
Hive5,2023-06-26,116\
Hive5,2023-08-13,109\
Hive5,2023-10-19,89\
Hive5,2024-02-02,67\
Hive5,2024-03-16,74\
Hive5,2024-04-26,86\
Hive5,2024-06-11,114\
Hive5,2024-07-24,121\
Hive5,2024-09-08,103\
Hive5,2024-11-17,80\
Hive5,2025-02-11,68\
Hive5,2025-03-23,75\
Hive5,2025-05-05,101\
Hive5,2025-06-22,119\
Hive5,2025-07-31,123\
Hive5,2025-09-20,107\
Hive5,2025-11-07,83}
