{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 HiveID,Date,PoundsHarvested\
Hive1,2021-06-25,30\
Hive1,2021-07-30,18\
Hive1,2021-08-20,14\
Hive1,2022-06-26,32\
Hive1,2022-07-29,19\
Hive1,2022-08-22,16\
Hive1,2023-06-24,35\
Hive1,2023-07-31,21\
Hive1,2023-08-25,18\
Hive1,2024-06-28,37\
Hive1,2024-07-30,23\
Hive1,2024-08-24,19\
Hive1,2025-06-26,39\
Hive1,2025-07-29,24\
Hive1,2025-08-27,20\
\
Hive2,2021-06-24,28\
Hive2,2021-07-28,17\
Hive2,2021-08-18,12\
Hive2,2022-06-25,30\
Hive2,2022-07-28,18\
Hive2,2022-08-21,14\
Hive2,2023-06-23,32\
Hive2,2023-07-29,19\
Hive2,2023-08-23,16\
Hive2,2024-06-27,34\
Hive2,2024-07-28,21\
Hive2,2024-08-22,17\
Hive2,2025-06-25,35\
Hive2,2025-07-27,22\
Hive2,2025-08-25,18\
\
Hive3,2021-06-26,34\
Hive3,2021-07-31,20\
Hive3,2021-08-22,16\
Hive3,2022-06-27,36\
Hive3,2022-07-30,21\
Hive3,2022-08-24,18\
Hive3,2023-06-25,38\
Hive3,2023-07-30,23\
Hive3,2023-08-26,19\
Hive3,2024-06-29,40\
Hive3,2024-07-31,24\
Hive3,2024-08-25,21\
Hive3,2025-06-27,42\
Hive3,2025-07-30,25\
Hive3,2025-08-28,22\
\
Hive4,2021-06-23,24\
Hive4,2021-07-27,14\
Hive4,2021-08-15,10\
Hive4,2022-06-22,26\
Hive4,2022-07-26,15\
Hive4,2022-08-19,12\
Hive4,2023-06-21,28\
Hive4,2023-07-25,16\
Hive4,2023-08-21,14\
Hive4,2024-06-24,27\
Hive4,2024-07-27,17\
Hive4,2024-08-20,15\
Hive4,2025-06-22,29\
Hive4,2025-07-26,18\
Hive4,2025-08-23,16\
\
Hive5,2021-06-27,36\
Hive5,2021-08-01,22\
Hive5,2021-08-23,17\
Hive5,2022-06-28,38\
Hive5,2022-07-31,23\
Hive5,2022-08-25,18\
Hive5,2023-06-26,40\
Hive5,2023-07-31,24\
Hive5,2023-08-28,20\
Hive5,2024-06-30,42\
Hive5,2024-08-01,25\
Hive5,2024-08-27,22\
Hive5,2025-06-28,44\
Hive5,2025-08-02,26\
Hive5,2025-08-30,23}
